year_1,year_2,nhgisnam_1,nhgisst_1,nhgiscty_1,icpsrst_1,icpsrcty_1,icpsrnam_1,statenam_1,gisjoin_1,nhgisnam_2,nhgisst_2,nhgiscty_2,icpsrst_2,icpsrcty_2,icpsrnam_2,statenam_2,gisjoin_2,area_1,area_2,area_intersection,weight_value,weight_count
1830,1820,Middlesex,510,1190,40,1190,MIDDLESEX,Virginia,G5101190,Middlesex,510,1190,40,1190,MIDDLESEX,Virginia,G5101190,344304245.997164,344304245.997164,344304245.997164,1,1
1830,1820,Pasquotank,370,1390,47,1390,PASQUOTANK,North Carolina,G3701390,Pasquotank,370,1390,47,1390,PASQUOTANK,North Carolina,G3701390,589907613.887677,589907613.887677,589907613.887677,1,1
1830,1820,Northampton,420,0950,14,950,NORTHAMPTON,Pennsylvania,G4200950,Northampton,420,0950,14,950,NORTHAMPTON,Pennsylvania,G4200950,2945271189.80798,2945271189.80798,2945271189.80798,1,1
1830,1820,Hocking,390,0730,24,730,HOCKING,Ohio,G3900730,Hocking,390,0730,24,730,HOCKING,Ohio,G3900730,1193719490.057,1193719490.057,1193719490.057,1,1
1830,1820,Marion,280,0910,46,910,MARION,Mississippi,G2800910,Marion,280,0910,46,910,MARION,Mississippi,G2800910,3109116850.3709,3076702828.70189,3073975812.121,0.988697421183863,0.999113656166123
1830,1820,Pike,280,1130,46,1130,PIKE,Mississippi,G2801130,Marion,280,0910,46,910,MARION,Mississippi,G2800910,2068750996.98754,3076702828.70189,2727017.49139175,0.00131819513095716,0.000886344129810651
1830,1820,Clinton,180,0230,22,230,CLINTON,Indiana,G1800230,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,1082175825.70137,27921357103.7911,251007201.339519,0.231946782933205,0.00898979230867822
1830,1820,Carroll,180,0150,22,150,CARROLL,Indiana,G1800150,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,1642402928.41789,27921357103.7911,302476807.914192,0.184167236115175,0.0108331699920533
1830,1820,St Joseph,180,1410,22,1410,ST JOSEPH,Indiana,G1801410,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,5152189428.49289,27921357103.7911,5152189428.49289,1,0.184525036134198
1830,1820,Allen,180,0030,22,30,ALLEN,Indiana,G1800030,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,6500241498.4367,27921357103.7911,4712189999.29533,0.724925373992429,0.168766510230104
1830,1820,Cass,180,0170,22,170,CASS,Indiana,G1800170,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,6419280503.90733,27921357103.7911,6366597169.09279,0.991792953309569,0.228018901281427
1830,1820,Elkhart,180,0390,22,390,ELKHART,Indiana,G1800390,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,3745708318.18255,27921357103.7911,3745708318.18255,1,0.134152086671818
1830,1820,Tippecanoe,180,1570,22,1570,TIPPECANOE,Indiana,G1801570,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,1302943393.62082,27921357103.7911,15288736.6380241,0.0117339991229683,0.000547564238414051
1830,1820,Unorganized - no population,180,1615,,,Unorganized,Indiana,G1801615,Indian Lands - no population,180,0695,,,Indian Lands,Indiana,G1800695,7481662436.73471,27921357103.7911,7375899495.3059,0.985863711130627,0.26416694102252
